round_epochs,val_loss,loss,regularizer,Dropout,hidden_layers,hidden_nodes,epochs,patience
18,14.259972189850417,13.78979643176933,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,0,75,1000,3
26,14.885474260375494,12.574714130885468,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,2,200,500,5
18,15.588578913645883,14.176789363675317,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,2,150,500,5
16,13.766926237020769,13.42129024967872,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,1,150,500,3
14,14.941047109840413,14.179878137659783,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,1,150,1000,3
68,13.840557747591768,13.271167424635061,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,1,75,500,10
38,13.873722514250662,13.521976764717836,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,1,75,1000,5
14,16.583048737458,13.975109540997654,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,2,150,500,3
23,14.36446475982666,13.891288086620085,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,1,75,500,5
15,13.810066731435327,13.333380425907883,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,1,75,1000,3
10,13.872286929933251,13.729286307251737,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,1,200,500,3
65,14.18301549624642,12.32965369996776,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,2,200,500,10
47,13.872124531023735,13.362848779758268,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,0,75,500,10
37,13.957677470033591,13.32860858632106,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,0,200,1000,10
21,14.80982689115177,14.205116349735455,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,2,200,1000,5
83,13.514191894229295,12.895129269678757,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,1,200,500,10
23,13.923810287012587,13.441466803458917,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,0,150,500,5
34,13.9134423260953,13.078561058130838,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,0,75,500,10
49,13.962386236970847,13.375539200762255,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,2,75,500,5
49,14.277912844454079,13.068730844646726,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,2,75,500,5
