round_epochs,val_loss,loss,regularizer,Dropout,hidden_layers,hidden_nodes,epochs,patience
48,13.359188573027035,13.660089135304988,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.3,2,75,1000,5
84,13.741882928128607,14.090069810774427,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.3,0,150,1000,3
202,12.990421725451789,13.072955605667822,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.1,0,150,1000,5
58,13.275063763822288,12.814229134660074,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.2,1,75,1000,3
128,13.380674842794212,13.229937818015284,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.2,2,75,1000,10
110,13.650492670668147,13.879628449307157,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.3,2,200,1000,10
113,13.592646515778313,13.544415469617833,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.1,2,75,1000,10
150,12.99510390903201,13.004755805869875,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.3,0,75,1000,10
117,12.777913253351377,12.399868813943485,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.1,1,150,1000,10
302,12.783902663983268,12.436534545699711,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.1,0,200,1000,10
99,13.401946822697381,13.763337406404696,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.3,0,150,1000,5
48,13.145978449517001,12.891316045586143,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.1,2,150,1000,3
62,13.548282057125524,13.495227754858584,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.1,1,75,1000,3
76,13.453304182570967,13.092749541640147,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.3,2,150,1000,10
111,13.38014842212043,13.441145373092771,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.2,0,75,1000,3
101,13.79953560539789,13.804832806268609,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.3,2,150,1000,10
218,13.40515610787988,13.53423132415806,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.2,1,75,1000,10
42,14.14811045764933,14.292971504099102,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.2,2,150,1000,3
243,13.206122181975433,13.150574294249036,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.1,1,150,1000,10
43,14.136866287694444,14.335120167629634,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.2,2,200,1000,3
171,13.550353226372309,13.759303629735857,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.3,1,75,1000,10
111,13.08803712346623,13.201832441889417,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.2,0,75,1000,10
79,13.666745107847028,13.773545119392507,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.1,1,75,1000,3
41,14.230805646146507,13.966892359075837,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.1,2,150,1000,3
54,13.77412036352233,13.747735274067551,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.2,1,150,1000,3
178,13.495240042895315,13.635529432804372,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.3,1,200,1000,10
35,13.395609611571622,13.42985020353462,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.2,1,150,1000,3
108,13.642060292427647,13.8542746925138,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.2,0,75,1000,3
56,13.127846199478512,13.257241324687193,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.3,1,150,1000,5
129,13.676457397541459,13.695459280521657,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.2,2,150,1000,10
140,13.606339421939095,13.624238646043926,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.2,0,150,1000,5
46,13.05095231753226,12.916249887589554,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.1,1,200,1000,3
82,13.237009549203837,13.110014527732357,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.3,2,200,1000,10
29,13.967852235154929,14.134850397250391,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.3,2,150,1000,3
119,13.03458722096949,12.779017674153415,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.3,1,200,1000,10
219,13.368586985605688,13.391567044457926,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.3,0,75,1000,10
290,13.013627553049051,13.03170094538653,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.2,0,75,1000,10
58,14.387954611262419,14.718076564447527,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.3,2,200,1000,3
59,14.188029070328282,14.436029646971758,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.2,2,75,1000,3
160,13.652875359265973,14.105359765438369,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.3,1,150,1000,10
104,13.183078124214918,13.041869322278897,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.1,1,75,1000,5
107,13.765394968219043,13.792475230561513,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.2,1,150,1000,5
84,13.755170791948062,13.798284736387052,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.1,0,75,1000,3
154,13.121014452861292,12.894353834175982,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.1,1,75,1000,10
151,13.292027423123885,13.173681058268045,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.2,1,75,1000,10
101,13.035609086773956,13.223096702808972,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.2,0,75,1000,3
81,13.702390222876556,13.792223013405891,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.3,2,200,1000,5
75,13.695665520539698,13.999511467100945,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.3,2,150,1000,5
45,14.525715875751425,14.536136643397848,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.2,2,150,1000,3
129,12.646182854131533,12.287859492231739,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.1,1,75,1000,10
48,14.35652263560836,14.767109299570086,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.3,1,150,1000,3
101,12.766758747654414,12.538079038211741,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.2,1,150,1000,10
315,13.153442541338837,13.251183018408977,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.1,0,200,1000,10
114,13.356313827484453,13.14606031286082,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.1,2,75,1000,10
86,13.465259136813927,13.308616387614578,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.1,1,200,1000,3
30,14.455986133666025,14.317734702122172,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.1,2,200,1000,3
63,12.96049017767793,12.805636718616075,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.2,2,75,1000,5
127,13.271570077357632,13.148145486652378,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.1,0,75,1000,5
76,13.161426667487715,13.201068584403258,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.2,0,200,1000,3
86,13.450883686699779,13.793076181465745,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.3,0,200,1000,5
188,13.677405737320791,14.189754812255721,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.3,2,200,1000,10
30,13.510374585053537,13.47515566945751,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.3,1,200,1000,3
66,13.614584477407007,13.891560583665443,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.3,0,150,1000,3
175,12.949251990205065,12.778171718593091,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.1,0,75,1000,10
57,14.409160548590105,14.383293998605938,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.1,2,200,1000,3
65,13.764644028958042,13.668596850921181,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.2,1,200,1000,5
74,13.218679727539223,13.39374219304708,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.3,0,75,1000,3
62,13.707100697117305,13.857752073121638,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.2,0,200,1000,3
188,13.147941284884249,13.29081104403849,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.3,1,150,1000,10
109,13.39408786189902,13.209154800812493,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.2,1,75,1000,5
61,12.961096650377742,12.664114155018721,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.1,1,200,1000,5
130,13.31500220739118,13.250828033395424,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.1,0,150,1000,3
68,12.97606086479328,12.734991877157313,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.2,2,75,1000,10
326,13.15189784812424,13.204980386883054,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.2,0,150,1000,10
64,13.03367058016694,12.378634214131235,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.1,2,200,1000,10
139,13.298250112810361,13.00600936431712,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.1,1,200,1000,10
41,14.391327764868421,14.577275769761842,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.3,2,150,1000,3
120,13.351580969576471,13.460059404643179,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.1,0,200,1000,5
56,13.306810628141136,13.359744437013585,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.1,0,150,1000,3
178,13.190202290275796,13.225017201994985,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.1,0,200,1000,10
140,13.813118476666373,13.985592303162658,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.3,2,150,1000,10
81,13.703310891002968,13.84254830123884,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.3,1,200,1000,3
167,13.407388963925808,13.399891938655589,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.1,0,200,1000,5
178,12.895187815764334,12.955216690746061,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.2,0,150,1000,10
52,13.12802425223479,12.897911947688861,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.1,2,200,1000,5
135,13.477085498517924,13.420452605017449,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.1,0,75,1000,5
195,13.321802906751003,13.731961552716058,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.2,1,200,1000,10
66,14.087265734307683,13.94922340712758,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.1,2,75,1000,3
102,13.626861426320742,13.82771343283043,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.2,0,200,1000,3
39,13.208027270978862,13.065307940119121,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.1,2,150,1000,5
85,13.781128196414354,14.09717442090217,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.3,0,200,1000,3
154,13.285660409046667,13.587193406991753,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.3,0,150,1000,10
71,13.589125582913924,13.748241938659046,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.2,0,150,1000,3
120,13.5574990350527,13.613391368602437,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.2,0,75,1000,5
126,13.072509826015986,13.137740096311472,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.2,0,200,1000,10
65,14.301495300433881,14.430331343567655,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.2,2,200,1000,5
35,13.438614344533956,13.430240365413955,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.2,2,75,1000,3
82,13.262650595491355,13.282914007236572,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.3,0,200,1000,3
151,13.216532971424918,13.093020110816134,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.2,0,75,1000,5
64,13.17006353967108,12.806113134019101,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.2,2,150,1000,10
30,14.254029072683531,14.174730796641159,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.1,2,75,1000,3
131,13.350944395744706,13.783093425452641,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.3,0,75,1000,10
184,13.449185059378832,13.579721281239562,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.2,0,200,1000,10
132,13.483433388782995,13.608294567462407,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.1,2,150,1000,5
203,13.465772077716435,13.564965739525594,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.2,1,150,1000,10
112,14.130984318916905,14.361493999528722,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.3,2,200,1000,5
