round_epochs,val_loss,loss,regularizer,lambda,Dropout,hidden_layers,hidden_nodes,epochs
300,16.381369321516132,14.834382278597909,<function l1 at 0x1a25311bf8>,0.05,0.5,0,50,300
1000,16.146145022953405,14.383786780377882,<function l1 at 0x1a25311bf8>,0.05,0.25,1,200,1000
300,18.891471321790387,16.656159522984332,<function l1 at 0x1a25311bf8>,0.1,0.5,2,150,300
1000,14.078540395620944,11.588660204532058,<function l1 at 0x1a25311bf8>,0.005,0.1,0,200,1000
1000,15.81711276414212,14.302824343317363,<function l1 at 0x1a25311bf8>,0.05,0.1,1,150,1000
300,14.631633197412013,13.225621828271471,<function l1 at 0x1a25311bf8>,0.005,0.5,0,200,300
300,16.318285884202943,14.734785764700694,<function l1 at 0x1a25311bf8>,0.05,0.1,2,150,300
300,18.638869932270303,16.33089993521149,<function l1 at 0x1a25311bf8>,0.1,0.1,3,50,300
300,14.914720905173107,13.420988422017945,<function l1 at 0x1a25311bf8>,0.005,0.5,2,200,300
1000,18.942939949538903,16.656134730692223,<function l1 at 0x1a25311bf8>,0.1,0.25,3,150,1000
1000,15.234966442893237,13.5586611811464,<function l1 at 0x1a25311bf8>,0.005,0.5,3,200,1000
300,17.022333016810755,15.727758111662125,<function l1 at 0x1a25311bf8>,0.05,0.5,1,50,300
300,15.25114495773114,13.447730846340226,<function l1 at 0x1a25311bf8>,0.01,0.5,2,150,300
500,16.228727252628055,14.509178063337558,<function l1 at 0x1a25311bf8>,0.05,0.5,0,150,500
1000,14.302439965170104,12.548567028304864,<function l1 at 0x1a25311bf8>,0.01,0.25,0,200,1000
500,17.108233200214155,15.80537638118826,<function l1 at 0x1a25311bf8>,0.1,0.1,3,50,500
1000,14.604393397912501,13.129227414676585,<function l1 at 0x1a25311bf8>,0.01,0.5,0,200,1000
500,15.221027547891662,11.236583398665605,<function l1 at 0x1a25311bf8>,0.01,0.1,3,50,500
1000,14.999485302726322,10.963600959000203,<function l1 at 0x1a25311bf8>,0.005,0.1,2,150,1000
300,16.397372389217164,15.002876899520512,<function l1 at 0x1a25311bf8>,0.05,0.25,1,100,300
300,15.0755437382922,12.432374879700951,<function l1 at 0x1a25311bf8>,0.01,0.1,3,100,300
300,14.667257155466206,11.907416228124806,<function l1 at 0x1a25311bf8>,0.005,0.1,3,200,300
1000,17.078297418780565,15.556431058579095,<function l1 at 0x1a25311bf8>,0.1,0.25,1,200,1000
300,14.403437428235378,11.488806326014,<function l1 at 0x1a25311bf8>,0.005,0.1,2,200,300
500,14.678253470750471,13.128195148092164,<function l1 at 0x1a25311bf8>,0.01,0.25,2,100,500
300,14.484007376165064,12.947697854393066,<function l1 at 0x1a25311bf8>,0.005,0.5,1,150,300
300,14.796953890757699,13.380008640267706,<function l1 at 0x1a25311bf8>,0.01,0.5,0,150,300
1000,18.605471465078068,16.321521080768797,<function l1 at 0x1a25311bf8>,0.1,0.5,3,100,1000
1000,15.242390952198361,11.419412685277642,<function l1 at 0x1a25311bf8>,0.005,0.25,3,50,1000
1000,14.672318959299051,11.86889147623479,<function l1 at 0x1a25311bf8>,0.005,0.25,2,50,1000
500,14.578042742444847,12.794570095541793,<function l1 at 0x1a25311bf8>,0.01,0.25,1,200,500
300,14.514608963183804,12.606838641053283,<function l1 at 0x1a25311bf8>,0.01,0.1,1,50,300
500,15.92864741624817,14.668702790853256,<function l1 at 0x1a25311bf8>,0.05,0.25,1,50,500
1000,16.66092809963981,15.52083499515313,<function l1 at 0x1a25311bf8>,0.05,0.25,3,100,1000
1000,14.792101130321976,12.737109425113804,<function l1 at 0x1a25311bf8>,0.005,0.5,2,100,1000
500,15.182279883714338,13.757400294527462,<function l1 at 0x1a25311bf8>,0.01,0.5,2,200,500
1000,14.32184897374981,12.042692931835136,<function l1 at 0x1a25311bf8>,0.01,0.1,0,200,1000
1000,16.200011406850688,14.538547837720722,<function l1 at 0x1a25311bf8>,0.05,0.5,0,100,1000
300,14.52809806612362,12.46664320815055,<function l1 at 0x1a25311bf8>,0.005,0.25,1,150,300
1000,14.34777027069736,12.280446367922618,<function l1 at 0x1a25311bf8>,0.01,0.1,0,150,1000
1000,14.98715241414576,13.571415478888886,<function l1 at 0x1a25311bf8>,0.005,0.5,3,150,1000
300,18.982316872689843,16.754102815993104,<function l1 at 0x1a25311bf8>,0.05,0.25,3,200,300
300,14.382388626994432,12.657957547923312,<function l1 at 0x1a25311bf8>,0.005,0.25,0,100,300
500,16.6170037881051,15.380094383473034,<function l1 at 0x1a25311bf8>,0.05,0.25,2,100,500
500,14.679482110257513,12.262559983630412,<function l1 at 0x1a25311bf8>,0.005,0.25,3,150,500
300,14.617268933469827,13.302762366367224,<function l1 at 0x1a25311bf8>,0.005,0.5,0,150,300
300,17.07157785471008,15.45788707279538,<function l1 at 0x1a25311bf8>,0.1,0.5,0,150,300
500,14.466374484089874,12.29550335604364,<function l1 at 0x1a25311bf8>,0.01,0.1,0,50,500
300,15.09612716911336,13.665629275657853,<function l1 at 0x1a25311bf8>,0.01,0.25,3,50,300
500,16.481778469437973,14.824320268252968,<function l1 at 0x1a25311bf8>,0.1,0.1,0,150,500
500,14.854116417172717,13.141178924392062,<function l1 at 0x1a25311bf8>,0.005,0.5,2,50,500
1000,18.416292578060585,16.121102847167347,<function l1 at 0x1a25311bf8>,0.1,0.25,3,50,1000
300,14.534541922697606,12.56481943152094,<function l1 at 0x1a25311bf8>,0.01,0.1,0,100,300
1000,15.27615365881404,13.808464805240135,<function l1 at 0x1a25311bf8>,0.01,0.5,2,200,1000
1000,14.612486260547486,13.004933040787382,<function l1 at 0x1a25311bf8>,0.01,0.5,0,100,1000
500,15.713550673311179,14.577195822045056,<function l1 at 0x1a25311bf8>,0.01,0.5,3,150,500
500,16.152845687161648,14.63491531838647,<function l1 at 0x1a25311bf8>,0.05,0.1,2,200,500
1000,17.5153034909734,16.133921995843387,<function l1 at 0x1a25311bf8>,0.05,0.5,2,100,1000
500,14.900352274207767,11.70587375830956,<function l1 at 0x1a25311bf8>,0.005,0.25,3,50,500
1000,16.957780536057765,15.51656440808306,<function l1 at 0x1a25311bf8>,0.1,0.25,1,100,1000
1000,18.389805164689438,16.1109649738126,<function l1 at 0x1a25311bf8>,0.1,0.25,1,150,1000
300,19.069782717561345,16.791534787801222,<function l1 at 0x1a25311bf8>,0.1,0.1,2,200,300
500,14.836629824776763,11.257114442801557,<function l1 at 0x1a25311bf8>,0.005,0.1,2,100,500
